position,suffix,player_slug,first_name,middle_name,last_name,draft_year,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions,body_fat_pct,hand_length,hand_width,height_w_shoes,height_wo_shoes,standing_reach,weight_lbs,wingspan,hand_length_inches,hand_width_inches,height_w_shoes_inches,height_wo_shoes_inches,standing_reach_inches,wingspan_inches,player_name
sg,,tony__allen__2004,tony,,allen,2004.0,10.7,,3.19,31.5,36.5,17.0,6.7,-,-,6' 4.25'',6' 3.5'',8' 6'',214.0,6' 9'',,,76.25,75.5,102.0,81.0,tony allen
sg-sf,,trevor__ariza__2004,trevor,,ariza,2004.0,11.63,,3.29,29.5,32.0,8.0,8.0,-,-,6' 8.25'',6' 7'',8' 11.5'',201.0,7' 2'',,,80.25,79.0,107.5,86.0,trevor ariza
pg,,andre__barrett__2004,andre,,barrett,2004.0,10.63,,3.08,29.0,34.5,13.0,6.7,-,-,5' 9.75'',5' 8.75'',7' 8'',171.0,6' 1'',,,69.75,68.75,92.0,73.0,andre barrett
pf,,brandon__bass__2004,brandon,,bass,2004.0,11.61,,3.24,31.5,33.0,18.0,9.3,-,-,6' 7.25'',6' 6.25'',8' 10.5'',246.0,7' 2.5'',,,79.25,78.25,106.5,86.5,brandon bass
c,,andris__biedrins__2004,andris,,biedrins,2004.0,,,,,,,9.3,-,-,,,,,,,,,,,,andris biedrins
sg,,tony__bobbitt__2004,tony,,bobbitt,2004.0,,,,,,1.0,7.3,-,-,6' 4'',6' 2.75'',8' 4'',185.0,6' 7'',,,76.0,74.75,100.0,79.0,tony bobbitt
sf-pf,,brian__boddicker__2004,brian,,boddicker,2004.0,10.93,,3.25,28.0,30.0,16.0,11.2,-,-,6' 8.75'',6' 7.5'',8' 9.5'',230.0,6' 10'',,,80.75,79.5,105.5,82.0,brian boddicker
pg-sg,,tim__bowers__2004,tim,,bowers,2004.0,11.24,,3.21,37.0,43.5,13.0,2.6,-,-,6' 1.75'',6' 0.5'',8' 2'',181.0,6' 9'',,,73.75,72.5,98.0,81.0,tim bowers
pf-c,,andre__brown__2004,andre,,brown,2004.0,11.7,,3.22,32.0,35.5,18.0,6.0,-,-,6' 9.5'',6' 8'',8' 11'',236.0,6' 11'',,,81.5,80.0,107.0,83.0,andre brown
pg,,antonio__burks__2004,antonio,,burks,2004.0,,,,,,9.0,9.9,-,-,6' 0.75'',6' 0'',8' 0.5'',191.0,6' 6.5'',,,72.75,72.0,96.5,78.5,antonio burks
c,,jackie__butler__2004,jackie,,butler,2004.0,13.32,,3.4,23.0,25.0,14.0,16.3,-,-,6' 9.5'',6' 8'',9' 1'',263.0,7' 1.5'',,,81.5,80.0,109.0,85.5,jackie butler
pg,,aleksandar__capin__2004,aleksandar,,capin,2004.0,11.5,,3.27,23.0,29.0,4.0,9.3,-,-,6' 1.25'',6' 0'',7' 10'',176.0,6' 1.5'',,,73.25,72.0,94.0,73.5,aleksandar capin
c,,ales__chan__2004,ales,,chan,2004.0,12.9,,3.62,21.0,29.0,2.0,14.8,-,-,7' 2'',7' 0'',9' 5'',255.0,7' 3'',,,86.0,84.0,113.0,87.0,ales chan
sg-sf,,josh__childress__2004,josh,,childress,2004.0,11.95,,3.38,29.0,36.0,11.0,9.3,-,-,6' 7.25'',6' 5.75'',8' 9'',196.0,6' 11'',,,79.25,77.75,105.0,83.0,josh childress
sf,,tj__cummings__2004,tj,,cummings,2004.0,11.58,,3.12,27.0,31.0,6.0,6.7,-,-,6' 8.75'',6' 7.5'',8' 10.5'',215.0,6' 9.5'',,,80.75,79.5,106.5,81.5,tj cummings
sf-pf,,erik__daniels__2004,erik,,daniels,2004.0,11.38,,3.19,31.0,32.0,4.0,18.5,-,-,6' 7.5'',6' 6.25'',8' 10'',223.0,6' 11'',,,79.5,78.25,106.0,83.0,erik daniels
sf,,luol__deng__2004,luol,,deng,2004.0,11.46,,3.34,27.5,31.5,5.0,6.7,-,-,6' 8'',6' 7'',9' 0.5'',220.0,7' 0.5'',,,80.0,79.0,108.5,84.5,luol deng
c-pf,,marcus__douthit__2004,marcus,,douthit,2004.0,11.64,,3.34,25.5,31.5,1.0,13.7,-,-,6' 11'',6' 9.5'',9' 3.5'',223.0,7' 4'',,,83.0,81.5,111.5,88.0,marcus douthit
pg,,chris__duhon__2004,chris,,duhon,2004.0,10.45,,3.14,31.5,35.0,7.0,6.7,-,-,6' 1.25'',6' 0'',8' 2'',193.0,6' 6.5'',,,73.25,72.0,98.0,78.5,chris duhon
c,,john__edwards__2004,john,,edwards,2004.0,,,,,,15.0,14.1,-,-,7' 1'',6' 11.25'',9' 5'',264.0,7' 4.5'',,,85.0,83.25,113.0,88.5,john edwards
sg-sf,,andre__emmett__2004,andre,,emmett,2004.0,,,,,,,6.7,-,-,6' 4.5'',6' 3.5'',8' 4'',216.0,6' 9'',,,76.5,75.5,100.0,81.0,andre emmett
sg,,desmon__farmer__2004,desmon,,farmer,2004.0,10.89,,3.2,24.0,31.0,12.0,5.3,-,-,6' 5.75'',6' 4.5'',8' 7'',214.0,6' 8.5'',,,77.75,76.5,103.0,80.5,desmon farmer
pg-sg,,luis__flores__2004,luis,,flores,2004.0,10.97,,3.1,29.0,32.0,15.0,6.0,-,-,6' 1.75'',6' 0.5'',8' 2.5'',202.0,6' 7.5'',,,73.75,72.5,98.5,79.5,luis flores
sf-pf,,matt__freije__2004,matt,,freije,2004.0,11.15,,3.25,29.5,31.0,13.0,10.8,-,-,6' 9.5'',6' 8.25'',9' 0.5'',234.0,7' 1'',,,81.5,80.25,108.5,85.0,matt freije
c-pf,,chris__garnett__2004,chris,,garnett,2004.0,11.75,,3.36,27.0,31.5,22.0,14.8,-,-,6' 9.75'',6' 8.25'',9' 0'',260.0,7' 1'',,,81.75,80.25,108.0,85.0,chris garnett
sf-pf,,ryan__gomes__2004,ryan,,gomes,2004.0,12.49,,3.24,26.5,30.5,9.0,,-,-,6' 7.75'',6' 6.5'',8' 10.5'',248.0,7' 2'',,,79.75,78.5,106.5,86.0,ryan gomes
pg-sg,,ben__gordon__2004,ben,,gordon,2004.0,11.28,,3.19,31.5,37.5,12.0,5.3,-,-,6' 2.25'',6' 1'',8' 3'',192.0,6' 8.5'',,,74.25,73.0,99.0,80.5,ben gordon
pg,,devin__harris__2004,devin,,harris,2004.0,11.03,,3.19,30.5,37.0,5.0,5.3,-,-,6' 3'',6' 1.75'',8' 2.5'',170.0,6' 7.5'',,,75.0,73.75,98.5,79.5,devin harris
pf-c,,dwight__howard__2004,dwight,,howard,2004.0,11.21,,3.14,30.5,35.5,7.0,10.5,-,-,6' 10.25'',6' 9'',9' 3.5'',240.0,7' 4.5'',,,82.25,81.0,111.5,88.5,dwight howard
pf,,rolando__howell__2004,rolando,,howell,2004.0,11.91,,3.28,28.5,34.5,,11.7,-,-,6' 8.5'',6' 7.5'',8' 11'',229.0,7' 0.5'',,,80.5,79.5,107.0,84.5,rolando howell
pf,,kris__humphries__2004,kris,,humphries,2004.0,11.33,,3.2,29.5,36.0,22.0,6.7,-,-,6' 9.5'',6' 8.25'',8' 10.5'',238.0,7' 0.5'',,,81.5,80.25,106.5,84.5,kris humphries
sg-sf,,andre__iguodala__2004,andre,,iguodala,2004.0,11.17,,3.18,30.5,34.5,4.0,6.7,-,-,6' 6.75'',6' 5.75'',8' 9.5'',217.0,6' 11'',,,78.75,77.75,105.5,83.0,andre iguodala
c-pf,,martin__iti__2004,martin,,iti,2004.0,12.28,,3.41,26.5,32.5,13.0,10.5,-,-,6' 9.75'',6' 8.5'',9' 3.5'',233.0,7' 5'',,,81.75,80.5,111.5,89.0,martin iti
sf-sg,,luke__jackson__2004,luke,,jackson,2004.0,11.1,,3.24,26.5,36.0,13.0,8.0,-,-,6' 7'',6' 6'',8' 7'',212.0,6' 8.5'',,,79.0,78.0,103.0,80.5,luke jackson
pf-sf,,al__jefferson__2004,al,,jefferson,2004.0,13.08,,3.29,28.5,30.0,3.0,10.5,-,-,6' 9.75'',6' 8.5'',9' 2'',263.0,7' 2.5'',,,81.75,80.5,110.0,86.5,al jefferson
pf-c,,arthur__johnson__2004,arthur,,johnson,2004.0,11.81,,3.38,26.5,28.5,14.0,16.3,-,-,6' 8.5'',6' 7'',9' 1'',262.0,7' 3'',,,80.5,79.0,109.0,87.0,arthur johnson
pg,,ivan__koljevic__2004,ivan,,koljevic,2004.0,11.07,,3.28,26.0,28.5,4.0,6.7,-,-,6' 2'',6' 1'',7' 11'',172.0,6' 2.5'',,,74.0,73.0,95.0,74.5,ivan koljevic
sf-pf,,herve__lamizana__2004,herve,,lamizana,2004.0,,,,,,,6.7,-,-,6' 8.5'',6' 7.5'',8' 11'',210.0,7' 1.5'',,,80.5,79.5,107.0,85.5,herve lamizana
pf-sf,,sergei__lishouk__2004,sergei,,lishouk,2004.0,,,,,,,10.5,-,-,6' 11.5'',6' 10.25'',9' 1.5'',244.0,7' 0'',,,83.5,82.25,109.5,84.0,sergei lishouk
pg-sg,,shaun__livingston__2004,shaun,,livingston,2004.0,10.72,,3.23,26.5,30.0,,6.7,-,-,6' 7.5'',6' 6.25'',8' 9.5'',186.0,6' 11'',,,79.5,78.25,105.5,83.0,shaun livingston
pf,,jaime__lloreda__2004,jaime,,lloreda,2004.0,12.93,,3.23,25.5,29.5,6.0,9.9,-,-,6' 8.5'',6' 6.75'',8' 11'',247.0,6' 9.5'',,,80.5,78.75,107.0,81.5,jaime lloreda
sf-sg,,bryant__matthews__2004,bryant,,matthews,2004.0,11.08,,3.13,29.0,34.5,13.0,6.7,-,-,6' 6.75'',6' 5.75'',8' 9.5'',206.0,7' 0.5'',,,78.75,77.75,105.5,84.5,bryant matthews
sf-pf,,marcus__melvin__2004,marcus,,melvin,2004.0,11.81,,3.33,25.0,30.5,11.0,10.5,-,-,6' 8.5'',6' 6.75'',8' 9.5'',241.0,7' 0'',,,80.5,78.75,105.5,84.0,marcus melvin
pf-sf,,rich__melzer__2004,rich,,melzer,2004.0,11.74,,3.39,24.5,28.5,8.0,12.4,-,-,6' 8.75'',6' 7.5'',8' 11'',229.0,7' 2'',,,80.75,79.5,107.0,86.0,rich melzer
pg-sg,,ricky__minard__2004,ricky,,minard,2004.0,10.94,,3.1,27.5,33.0,13.0,8.0,-,-,6' 4.25'',6' 3.25'',8' 5.5'',198.0,6' 7'',,,76.25,75.25,101.5,79.0,ricky minard
pf-sf,,james__moore__2004,james,,moore,2004.0,11.01,,3.21,28.5,32.5,,8.0,-,-,6' 8'',6' 6.5'',8' 11'',198.0,7' 0.5'',,,80.0,78.5,107.0,84.5,james moore
pg-sg,,marcus__moore__2004,marcus,,moore,2004.0,11.31,,3.34,25.0,30.0,,14.8,-,-,6' 5.25'',6' 4'',8' 5.5'',202.0,6' 9'',,,77.25,76.0,101.5,81.0,marcus moore
sg-sf,,michel__morandais__2004,michel,,morandais,2004.0,11.45,,3.22,30.5,33.5,16.0,8.6,-,-,6' 4.75'',6' 3.75'',8' 6'',205.0,6' 11.5'',,,76.75,75.75,102.0,83.5,michel morandais
pg,,jameer__nelson__2004,jameer,,nelson,2004.0,10.95,,3.14,28.5,33.5,15.0,8.0,-,-,6' 0.5'',5' 11'',7' 11'',199.0,6' 2.5'',,,72.5,71.0,95.0,74.5,jameer nelson
sg-pg,,misan__nikagbatse__2004,misan,,nikagbatse,2004.0,11.27,,3.32,27.5,32.5,11.0,12.9,-,-,6' 4.75'',6' 3.5'',8' 6'',223.0,6' 10'',,,76.75,75.5,102.0,82.0,misan nikagbatse
c-pf,,emeka__okafor__2004,emeka,,okafor,2004.0,12.32,,3.15,31.5,34.0,22.0,5.3,-,-,6' 10'',6' 8.75'',9' 2.5'',257.0,7' 4'',,,82.0,80.75,110.5,88.0,emeka okafor
pf-sf,,randall__orr__2004,randall,,orr,2004.0,11.18,,3.27,26.5,33.0,6.0,6.7,-,-,6' 10.75'',6' 9'',8' 11.5'',193.0,6' 10.5'',,,82.75,81.0,107.5,82.5,randall orr
sf,,dylan__page__2004,dylan,,page,2004.0,10.99,,3.4,26.0,30.0,17.0,12.3,-,-,6' 8.75'',6' 7.5'',8' 9'',239.0,6' 7'',,,80.75,79.5,105.0,79.0,dylan page
pf,,drago__pasalic__2004,drago,,pasalic,2004.0,12.97,,3.56,25.5,30.0,8.0,12.9,-,-,6' 10.75'',6' 9.25'',9' 0'',231.0,6' 11.5'',,,82.75,81.25,108.0,83.5,drago pasalic
sg,,rickey__paulding__2004,rickey,,paulding,2004.0,11.14,,3.17,30.0,36.0,17.0,5.3,-,-,6' 4'',6' 2.75'',8' 5.5'',210.0,6' 9.5'',,,76.0,74.75,101.5,81.5,rickey paulding
sg-pg,,kelvin__pena__2004,kelvin,,pena,2004.0,11.5,,3.24,27.5,32.5,1.0,8.6,-,-,6' 3.25'',6' 2.25'',8' 3.5'',182.0,6' 6.5'',,,75.25,74.25,99.5,78.5,kelvin pena
pg-sg,,tim__pickett__2004,tim,,pickett,2004.0,,,,,,,6.0,-,-,6' 4.25'',6' 3'',8' 4.5'',207.0,6' 7.5'',,,76.25,75.0,100.5,79.5,tim pickett
pg,,omar__quintero__2004,omar,,quintero,2004.0,11.37,,3.25,25.0,29.0,2.0,14.1,-,-,5' 11.25'',5' 9.75'',7' 8.5'',170.0,5' 11.5'',,,71.25,69.75,92.5,71.5,omar quintero
c,,peter__ramos__2004,peter,,ramos,2004.0,12.61,,3.6,24.0,26.5,2.0,6.7,-,-,7' 3.25'',7' 1.75'',9' 3.5'',266.0,7' 5.5'',,,87.25,85.75,111.5,89.5,peter ramos
c-pf,,jared__reiner__2004,jared,,reiner,2004.0,12.65,,3.56,22.0,26.0,15.0,12.9,-,-,6' 11.75'',6' 10'',9' 1'',246.0,7' 0.5'',,,83.75,82.0,109.0,84.5,jared reiner
pf,,lawrence__roberts__2004,lawrence,,roberts,2004.0,12.52,,3.3,27.5,33.0,18.0,9.3,-,-,6' 9'',6' 7.5'',8' 10.5'',233.0,6' 9.5'',,,81.0,79.5,106.5,81.5,lawrence roberts
sg-sf,,bernard__robinson__2004,bernard,,robinson,2004.0,10.91,,3.17,28.5,34.5,14.0,6.0,-,-,6' 6.5'',6' 5.25'',8' 6'',208.0,6' 10'',,,78.5,77.25,102.0,82.0,bernard robinson
pg,,nate__robinson__2004,nate,,robinson,2004.0,10.75,,2.96,35.5,43.5,13.0,6.7,-,-,5' 9'',5' 7.75'',7' 7.5'',181.0,6' 1'',,,69.0,67.75,91.5,73.0,nate robinson
pf,,aerick__sanders__2004,aerick,,sanders,2004.0,11.98,,3.37,24.5,30.5,9.0,6.7,-,-,6' 7.5'',6' 6.5'',8' 10'',205.0,6' 11.5'',,,79.5,78.5,106.0,83.5,aerick sanders
sg,,romain__sato__2004,romain,,sato,2004.0,11.27,,3.18,31.5,35.5,8.0,6.0,-,-,6' 3.25'',6' 2'',8' 6.5'',204.0,6' 11'',,,75.25,74.0,102.5,83.0,romain sato
sf-pf,,blagota__sekulic__2004,blagota,,sekulic,2004.0,10.93,,3.39,23.5,31.5,8.0,9.3,-,-,6' 10.5'',6' 9.25'',8' 11'',234.0,6' 11'',,,82.5,81.25,107.0,83.0,blagota sekulic
sg-sf,,josh__smith__2004,josh,,smith,2004.0,11.43,,3.24,32.5,39.5,12.0,6.7,-,-,6' 8.25'',6' 7'',8' 10.5'',221.0,7' 0'',,,80.25,79.0,106.5,84.0,josh smith
sg-sf,,jr__smith__2004,jr,,smith,2004.0,10.93,,3.21,29.0,35.5,5.0,6.7,-,-,6' 6.75'',6' 5.5'',8' 8'',227.0,6' 10'',,,78.75,77.5,104.0,82.0,jr smith
sg-sf,,kirk__snyder__2004,kirk,,snyder,2004.0,10.79,,3.13,30.0,35.0,19.0,9.3,-,-,6' 6.75'',6' 6'',8' 8'',228.0,6' 9'',,,78.75,78.0,104.0,81.0,kirk snyder
pf-c,,pape__sow__2004,pape,,sow,2004.0,12.13,,3.27,28.0,31.5,18.0,9.3,-,-,6' 10'',6' 8.5'',9' 0.5'',233.0,7' 2'',,,82.0,80.5,108.5,86.0,pape sow
c-pf,,tiago__splitter__2004,tiago,,splitter,2004.0,11.65,,3.38,26.0,31.5,8.0,5.3,-,-,6' 11.75'',6' 10.25'',9' 1.5'',233.0,7' 2'',,,83.75,82.25,109.5,86.0,tiago splitter
pg,,blake__stepp__2004,blake,,stepp,2004.0,,,,,,,8.0,-,-,,,,,,,,,,,,blake stepp
pf-c,,tom__timmerrmans__2004,tom,,timmerrmans,2004.0,13.13,,3.63,23.0,26.5,15.0,15.2,-,-,6' 11.5'',6' 10.5'',8' 11.5'',272.0,6' 11'',,,83.5,82.5,107.5,83.0,tom timmerrmans
sg-pg,,marko__tomas__2004,marko,,tomas,2004.0,11.8,,3.23,32.0,31.5,,9.3,-,-,6' 7.75'',6' 6.5'',8' 7.5'',198.0,6' 7'',,,79.75,78.5,103.5,79.0,marko tomas
pg,,beno__udrih__2004,beno,,udrih,2004.0,,,,,,2.0,9.3,-,-,6' 3.75'',6' 2.5'',8' 2'',199.0,6' 4.5'',,,75.75,74.5,98.0,76.5,beno udrih
pf-c,,jackson__vroman__2004,jackson,,vroman,2004.0,10.75,,3.25,29.5,33.5,12.0,6.7,-,-,6' 10.75'',6' 9.25'',8' 9.5'',226.0,7' 0'',,,82.75,81.25,105.5,84.0,jackson vroman
pg-sg,,delonte__west__2004,delonte,,west,2004.0,11.2,,3.15,30.0,35.0,12.0,6.7,-,-,6' 2.75'',6' 1.5'',8' 3.5'',183.0,6' 6'',,,74.75,73.5,99.5,78.0,delonte west
sg-sf,,damien__wilkins__2004,damien,,wilkins,2004.0,11.92,,3.15,26.5,31.0,15.0,7.3,-,-,6' 6'',6' 4.5'',8' 10'',222.0,7' 0'',,,78.0,76.5,106.0,84.0,damien wilkins
sf,,mike__williams__2004,mike,,williams,2004.0,11.59,,3.42,23.5,27.5,,9.3,-,-,6' 6.5'',6' 5.5'',8' 9.5'',197.0,6' 11.5'',,,78.5,77.5,105.5,83.5,mike williams
pf-sf,,nate__williams__2004,nate,,williams,2004.0,12.6,,3.35,23.5,26.0,1.0,12.4,-,-,6' 10'',6' 8.5'',9' 1.5'',240.0,7' 1.5'',,,82.0,80.5,109.5,85.5,nate williams
pg,,rashad__wright__2004,rashad,,wright,2004.0,11.15,,3.28,28.5,32.5,10.0,8.0,-,-,6' 1.75'',6' 0.5'',8' 2.5'',190.0,6' 10'',,,73.75,72.5,98.5,82.0,rashad wright
pf,,aloysius__anagonye__2003,aloysius,,anagonye,2003.0,12.93,,3.3,31.0,34.5,6.0,10.5,-,-,,6' 6.75'',8' 10'',257.0,7' 2.5'',,,,78.75,106.0,86.5,aloysius anagonye
sf-pf,,rick__anderson__2003,rick,,anderson,2003.0,11.23,,3.4,26.0,30.5,6.0,9.9,-,-,,6' 8.25'',8' 10.5'',216.0,6' 11'',,,,80.25,106.5,83.0,rick anderson
sf,,carmelo__anthony__2003,carmelo,,anthony,2003.0,11.4,,3.15,30.5,33.5,7.0,8.0,-,-,,6' 6.25'',8' 9.5'',233.0,7' 0'',,,,78.25,105.5,84.0,carmelo anthony
sf-pf,,jerome__beasley__2003,jerome,,beasley,2003.0,11.36,,3.25,27.0,32.0,10.0,9.9,-,-,,6' 9'',8' 11'',237.0,7' 0.5'',,,,81.0,107.0,84.5,jerome beasley
pg,,troy__bell__2003,troy,,bell,2003.0,10.89,,3.06,34.5,41.0,17.0,5.3,-,-,,6' 0.25'',8' 1.5'',178.0,6' 5'',,,,72.25,97.5,77.0,troy bell
sf,,lavell__blanchard__2003,lavell,,blanchard,2003.0,11.64,,3.38,33.5,36.5,12.0,11.7,-,-,,6' 6'',8' 5.5'',205.0,6' 6'',,,,78.0,101.5,78.0,lavell blanchard
sg,,keith__bogans__2003,keith,,bogans,2003.0,11.43,,3.25,29.5,35.0,10.0,8.0,-,-,,6' 4.25'',8' 5'',213.0,6' 9.25'',,,,76.25,101.0,81.25,keith bogans
pf-sf,,matt__bonner__2003,matt,,bonner,2003.0,11.52,,3.32,27.0,32.0,20.0,13.6,-,-,,6' 8.5'',8' 9.5'',242.0,6' 8.75'',,,,80.5,105.5,80.75,matt bonner
pf,,chris__bosh__2003,chris,,bosh,2003.0,11.8,,3.3,30.5,33.0,9.0,8.0,-,-,,6' 10.25'',9' 1'',225.0,7' 3.5'',,,,82.25,109.0,87.5,chris bosh
pg-sg,,jermaine__boyette__2003,jermaine,,boyette,2003.0,11.2,,3.07,29.0,35.5,14.0,7.3,-,-,,6' 1'',8' 0'',187.0,6' 4'',,,,73.0,96.0,76.0,jermaine boyette
pf-sf,,souleymane__camara__2003,souleymane,,camara,2003.0,11.51,,3.2,28.5,34.5,2.0,9.9,-,-,,6' 9.75'',9' 1'',211.0,7' 2.25'',,,,81.75,109.0,86.25,souleymane camara
sg-sf,,matt__carroll__2003,matt,,carroll,2003.0,11.11,,3.35,29.0,33.5,13.0,6.7,-,-,,6' 5'',8' 2.5'',207.0,6' 6.5'',,,,77.0,98.5,78.5,matt carroll
pf,,nick__collison__2003,nick,,collison,2003.0,11.62,,3.28,28.0,33.0,8.0,17.0,-,-,,6' 8.75'',9' 0'',255.0,7' 1.5'',,,,80.75,108.0,85.5,nick collison
pf-sf,,brian__cook__2003,brian,,cook,2003.0,11.87,,3.45,25.0,29.0,6.0,10.5,-,-,,6' 9.5'',9' 1'',234.0,7' 2'',,,,81.5,109.0,86.0,brian cook
pf-sf,,joel__cornette__2003,joel,,cornette,2003.0,11.27,,3.14,26.0,32.5,13.0,12.9,-,-,,6' 8.25'',8' 9.5'',239.0,6' 9.25'',,,,80.25,105.5,81.25,joel cornette
sg-pg,,marquis__daniels__2003,marquis,,daniels,2003.0,11.62,,3.25,30.5,35.0,6.0,4.0,-,-,,6' 5.25'',8' 7.5'',198.0,6' 10'',,,,77.25,103.5,82.0,marquis daniels
c-pf,,aleksander__djuric__2003,aleksander,,djuric,2003.0,11.97,,3.65,23.5,27.5,3.0,16.3,-,-,,6' 10'',9' 0'',253.0,7' 0'',,,,82.0,108.0,84.0,aleksander djuric
sg,,ruben__douglas__2003,ruben,,douglas,2003.0,11.95,,3.27,28.5,35.0,9.0,6.0,-,-,,6' 3.5'',8' 4.5'',193.0,6' 7.25'',,,,75.5,100.5,79.25,ruben douglas
sf-sg,,ronald__dupree__2003,ronald,,dupree,2003.0,11.09,,3.23,37.5,41.5,11.0,6.7,-,-,,6' 6'',8' 5'',209.0,6' 8.25'',,,,78.0,101.0,80.25,ronald dupree
sg-pg,,carl__english__2003,carl,,english,2003.0,11.77,,3.32,28.0,34.0,11.0,8.0,-,-,,6' 4'',8' 2.5'',201.0,6' 5.25'',,,,76.0,98.5,77.25,carl english
sg,,ebi__ere__2003,ebi,,ere,2003.0,11.38,,3.16,29.5,33.5,,14.1,-,-,,6' 3.5'',8' 6'',210.0,6' 10.5'',,,,75.5,102.0,82.5,ebi ere
pf-c,,marquis__estill__2003,marquis,,estill,2003.0,12.92,,3.31,30.0,36.0,7.0,11.7,-,-,,6' 8.5'',9' 0'',257.0,7' 4'',,,,80.5,108.0,88.0,marquis estill
pg,,tj__ford__2003,tj,,ford,2003.0,11.45,,3.2,32.5,39.5,,6.7,-,-,,5' 11'',7' 9.5'',162.0,5' 11.5'',,,,71.0,93.5,71.5,tj ford
pg,,jason__gardner__2003,jason,,gardner,2003.0,10.62,,3.17,30.5,35.0,10.0,9.3,-,-,,5' 9.75'',7' 8'',194.0,6' 1'',,,,69.75,92.0,73.0,jason gardner
sg-pg,,willie__green__2003,willie,,green,2003.0,11.86,,3.19,28.5,28.5,13.0,8.0,-,-,,6' 2.5'',8' 4'',201.0,6' 7.25'',,,,74.5,100.0,79.25,willie green
pg-sg,,justin__hamilton__2003,justin,,hamilton,2003.0,11.18,,3.18,30.0,37.5,17.0,8.0,-,-,,6' 3'',8' 7'',217.0,6' 11'',,,,75.0,103.0,83.0,justin hamilton
sg,,travis__hansen__2003,travis,,hansen,2003.0,10.72,,3.18,31.5,35.0,16.0,6.0,-,-,,6' 4.5'',8' 4.5'',200.0,6' 6.5'',,,,76.5,100.5,78.5,travis hansen
c-pf,,trevor__harvey__2003,trevor,,harvey,2003.0,11.85,,3.32,29.5,32.0,11.0,10.5,-,-,,6' 9.5'',9' 1.5'',245.0,7' 1'',,,,81.5,109.5,85.0,trevor harvey
pg,,marcus__hatten__2003,marcus,,hatten,2003.0,11.5,,3.15,29.5,37.5,7.0,4.0,-,-,,6' 0.75'',8' 2'',163.0,6' 6.25'',,,,72.75,98.0,78.25,marcus hatten
pg-sg,,kirk__hinrich__2003,kirk,,hinrich,2003.0,10.98,,3.1,29.0,33.5,10.0,5.3,-,-,,6' 2.75'',8' 2.5'',186.0,6' 6'',,,,74.75,98.5,78.0,kirk hinrich
pf,,jerry__holman__2003,jerry,,holman,2003.0,11.54,,3.24,33.0,37.5,11.0,6.0,-,-,,6' 8.75'',9' 1.5'',232.0,7' 3.25'',,,,80.75,109.5,87.25,jerry holman
pf,,sam__hoskin__2003,sam,,hoskin,2003.0,,,,,,24.0,,-,-,,6' 7.25'',8' 11.5'',261.0,6' 10.75'',,,,79.25,107.5,82.75,sam hoskin
sf-sg,,josh__howard__2003,josh,,howard,2003.0,10.89,,3.09,33.0,36.5,4.0,6.0,-,-,,6' 5.25'',8' 9.5'',202.0,7' 2'',,,,77.25,105.5,86.0,josh howard
pf,,brandon__hunter__2003,brandon,,hunter,2003.0,11.13,,3.21,32.5,35.0,25.0,8.0,-,-,,6' 6.5'',8' 9.5'',266.0,7' 2.75'',,,,78.5,105.5,86.75,brandon hunter
c-pf,,sani__ibrahim__2003,sani,,ibrahim,2003.0,13.02,,3.4,26.0,30.5,12.0,9.3,-,-,,6' 8.5'',9' 1.5'',229.0,7' 1'',,,,80.5,109.5,85.0,sani ibrahim
pf-sf,,michael__ignerski__2003,michael,,ignerski,2003.0,11.21,,3.13,26.5,33.0,10.0,10.5,-,-,,6' 9.5'',8' 11'',232.0,6' 10.75'',,,,81.5,107.0,82.75,michael ignerski
pf-c,,robert__jackson__2003,robert,,jackson,2003.0,11.26,,3.25,23.5,26.0,15.0,15.9,-,-,,6' 7.75'',8' 11.5'',254.0,7' 0'',,,,79.75,107.5,84.0,robert jackson
sf-sg,,lebron__james__2003,lebron,,james,2003.0,,,,,,,6.7,-,-,,6' 7.25'',8' 10.25'',245.0,7' 0.25'',,,,79.25,106.25,84.25,lebron james
sf-pf,,britton__johnsen__2003,britton,,johnsen,2003.0,10.67,,3.08,26.5,32.5,13.0,7.3,-,-,,6' 10'',8' 11.5'',212.0,6' 10.75'',,,,82.0,107.5,82.75,britton johnsen
sf,,james__jones__2003,james,,jones,2003.0,11.18,,3.19,30.5,33.0,9.0,6.7,-,-,,6' 7.25'',8' 11.5'',218.0,7' 2.5'',,,,79.25,107.5,86.5,james jones
sg-sf,,dahntay__jones__2003,dahntay,,jones,2003.0,10.91,,3.11,30.0,39.5,,2.6,-,-,,6' 4.75'',8' 6.5'',214.0,6' 9'',,,,76.75,102.5,81.0,dahntay jones
c-pf,,chris__kaman__2003,chris,,kaman,2003.0,11.33,,3.37,23.5,30.5,15.0,16.3,-,-,,6' 11.5'',9' 2.5'',252.0,6' 11.75'',,,,83.5,110.5,83.75,chris kaman
sg-sf,,jason__kapono__2003,jason,,kapono,2003.0,11.04,,3.38,23.5,30.0,8.0,11.7,-,-,,6' 6.5'',8' 6'',215.0,6' 6.5'',,,,78.5,102.0,78.5,jason kapono
c-pf,,jason__keep__2003,jason,,keep,2003.0,11.18,,3.3,29.5,34.0,27.0,8.6,-,-,,6' 9.75'',8' 10.5'',270.0,7' 0.5'',,,,81.75,106.5,84.5,jason keep
